num,family,status,P_ours,shape,lit_period,lit_sources,lit_status,sbdb_period,novelty
30482,Ursula,CONFIRMED,4.335,1P,,,VIRGIN,,FIRST-DETERMINATION
30968,Phocaea,CONFIRMED,4.151,1P,412.3283,Eglitis+2023;McNeill+2023,CONTESTED,,ARBITRATION(contested-lit)
32253,main belt,CONFIRMED,6.938,2P,6.9401,Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,,CONFIRMATION
33717,main belt,CONFIRMED,50.31,2P,60.8513,Lam+2023;Ďurech+2022a,CONTESTED,,ARBITRATION(contested-lit)
38042,main belt,CANDIDATE,95.4625,1P,96.6600,Cellino+2024;McNeill+2023;Ďurech&Hanuš2023,TWOX_AMBIG,,CONFIRMATION
39866,Hungaria,CONFIRMED,44.7738,D,,,VIRGIN,,FIRST-DETERMINATION
43357,Hungaria,CONFIRMED,34.0497,Dd,34.0910,Cellino+2024,PUBLISHED_SINGLE,,CONFIRMATION
45825,Hungaria,CANDIDATE,33.7133,Dd,33.5900,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
46992,main belt,CANDIDATE,53.8038,2P,,,VIRGIN,,FIRST-DETERMINATION
50545,main belt,CONFIRMED,3.182,2P,,,VIRGIN,,FIRST-DETERMINATION
53422,Hungaria,CONFIRMED,26.6024,Dd,26.6105,McNeill+2023,PUBLISHED_SINGLE,,CONFIRMATION
55720,Hungaria,CANDIDATE,10.4668,Dd,,,VIRGIN,,FIRST-DETERMINATION
56351,Hungaria,CANDIDATE,33.8883,Dd,,,VIRGIN,33.856,CONFIRMATION
58098,Hungaria,CONFIRMED,56.5441,D,,,VIRGIN,,FIRST-DETERMINATION
58143,main belt,CANDIDATE,39.16,1P,,,VIRGIN,,FIRST-DETERMINATION
66195,Hungaria,CONFIRMED,52.4002,2P,52.5200,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
71737,Hungaria,CANDIDATE,4.2921,Dd,,,VIRGIN,,FIRST-DETERMINATION
74511,Hungaria,CONFIRMED,16.8991,Sq,,,VIRGIN,,FIRST-DETERMINATION
76865,Hungaria,CONFIRMED,2.2942,S,2.5700,Chang+2016,PUBLISHED_SINGLE,5.14,SUPERSEDES-LIT
86420,Hungaria,CONFIRMED,8.211,Sq,16.4240,Cellino+2024,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
92227,Hungaria,CONFIRMED,93.12,2P,,,VIRGIN,,FIRST-DETERMINATION
97779,Hungaria,CANDIDATE,7.0108,Dd,7.0057,Ďurech&Hanuš2023,PUBLISHED_SINGLE,,CONFIRMATION
147449,Hungaria,CONFIRMED,33.555,D,,,VIRGIN,,FIRST-DETERMINATION
200474,Hungaria,CONFIRMED,7.1426,Dd,,,VIRGIN,,FIRST-DETERMINATION
