num,family,P_adopted_h,shape,status,n_sectors,n_cycles_best,peak_width_frac,P_sigma_h,doubling,decomb,chunked,quarantine
3846,Beltwide9,5.1719,1P,CANDIDATE,1,120.49,0.0079,0.02,NONE(1P),survived,False,False
10451,Beltwide10,10.178,2P,CONFIRMED,2,58.56,0.0079,0.02,CONVENTION,survived,False,False
4118,Beltwide10,8.734,2P,CONFIRMED,2,65.15,0.0068,0.01,MEASURED,,False,False
5576,Beltwide10,12.094,1P,CONFIRMED,3,52.13,0.0158,0.08,NONE(1P),,False,False
9092,Beltwide10,14.452,2P,CONFIRMED,2,43.62,0.01,0.03,MEASURED,survived,False,False
9171,Beltwide10,14.026,2P,CONFIRMED,2,42.98,0.01,0.03,CONVENTION,survived,False,False
10031,Beltwide10,5.0034,2P,CANDIDATE,1,84.74,0.0053,0.01,MEASURED,,False,False
17569,Beltwide10,89.1748,2P,CANDIDATE,1,6.91,0.063,1.19,UNSTATED,survived,False,False
8294,Beltwide10,3.2408,2P,CANDIDATE,1,182.62,0.0026,0.0,UNSTATED,survived,False,False
5109,Beltwide10,45.3887,1P,CANDIDATE,1,10.87,0.0746,1.44,NONE(1P),survived,False,False
10594,Ledger-v16,70.3216,2P,CANDIDATE,1,6.62,0.0677,1.01,CONVENTION,survived,False,False
10707,Ledger-v16,94.2856,2P,CANDIDATE,2,6.16,0.0719,1.44,CONVENTION,survived,False,False
10885,Ledger-v16,3.2006,2P,CANDIDATE,1,189.05,0.0026,0.0,MEASURED,survived,False,False
11022,Ledger-v16,16.078,2P,CONFIRMED,2,37.52,0.011,0.04,CONVENTION,survived,False,False
11055,Ledger-v16,46.418,2P,CONFIRMED,2,13.84,0.031,0.31,CONVENTION,survived,False,False
11576,Ledger-v16,3.314,2P,CONFIRMED,3,181.66,0.0026,0.0,MEASURED,survived,False,False
11933,Ledger-v16,14.1399,1P,CANDIDATE,1,26.12,0.0347,0.21,NONE(1P),,False,False
12064,Ledger-v16,8.1155,1P,CANDIDATE,2,80.21,0.01,0.03,NONE(1P),survived,False,False
12975,Ledger-v16,3.6668,2P,CANDIDATE,2,184.33,0.0032,0.0,MEASURED,,False,False
13073,Ledger-v16,5.6828,2P,CANDIDATE,1,65.05,0.0074,0.01,MEASURED,,False,False
14927,Ledger-v16,86.196,2P,CONFIRMED,3,6.88,0.0572,1.05,CONVENTION,survived,False,False
15070,Ledger-v16,19.174,2P,CONFIRMED,2,30.74,0.0131,0.05,CONVENTION,survived,False,False
15286,Ledger-v16,118.76,1P,CONFIRMED,2,5.46,0.1906,9.61,NONE(1P),inconclusive,False,False
15524,Ledger-v16,10.8,1P,CANDIDATE,1,56.73,0.0163,0.07,NONE(1P),survived,False,False
16405,Ledger-v16,100.2192,1P,CANDIDATE,1,5.51,0.1659,7.06,NONE(1P),survived,False,False
16555,Ledger-v16,40.4204,2P,CANDIDATE,1,11.93,0.0341,0.29,MEASURED,,False,False
16650,Ledger-v16,2.323,1P,CONFIRMED,2,114.37,0.0079,0.01,NONE(1P),survived,False,False
17019,Ledger-v16,4.1396,2P,CANDIDATE,1,143.13,0.0037,0.0,MEASURED,survived,False,False
18069,Ledger-v16,2.4993,1P,CANDIDATE,1,218.3,0.0042,0.0,NONE(1P),survived,False,False
18114,Ledger-v16,12.2033,1P,CANDIDATE,1,30.27,0.0247,0.13,NONE(1P),survived,False,False
19150,Ledger-v16,5.4752,2P,CANDIDATE,1,100.45,0.0053,0.01,MEASURED,,False,False
19364,Ledger-v16,11.2488,2P,CANDIDATE,1,12.33,0.0352,0.08,CONVENTION,survived,False,False
19657,Ledger-v16,4.35,2P,CONFIRMED,2,29.69,0.0147,0.01,MEASURED,,False,False
21977,Ledger-v16,3.779,1P,CONFIRMED,2,93.84,0.0095,0.02,NONE(1P),survived,False,False
23052,Ledger-v16,206.666,2P,CONFIRMED,2,2.95,0.1413,6.2,CONVENTION,survived,False,False
2366,Ledger-v16,4.204,2P,CANDIDATE,1,136.56,0.0037,0.0,MEASURED,survived,False,False
2401,Ledger-v16,153.6872,2P,CANDIDATE,1,3.84,0.1035,3.38,CONVENTION,survived,False,False
24809,Ledger-v16,6.4374,2P,CANDIDATE,1,48.21,0.0105,0.01,CONVENTION,survived,False,False
2488,Ledger-v16,44.2385,1P,CANDIDATE,1,13.21,0.0662,1.24,NONE(1P),survived,False,False
2514,Ledger-v16,2.5337,1P,CANDIDATE,1,170.58,0.0063,0.01,NONE(1P),survived,False,False
2775,Ledger-v16,8.33,2P,CONFIRMED,3,69.97,0.0058,0.01,MEASURED,survived,False,False
27791,Ledger-v16,6.3926,2P,CANDIDATE,1,71.23,0.0063,0.01,CONVENTION,,False,False
28056,Ledger-v16,6.157,1P,CONFIRMED,2,90.03,0.0105,0.03,NONE(1P),survived,False,False
29199,Ledger-v16,15.38,2P,CONFIRMED,3,22.3,0.0173,0.06,CONVENTION,survived,False,False
31361,Ledger-v16,8.4995,1P,CANDIDATE,1,70.38,0.0116,0.04,NONE(1P),,False,False
3137,Ledger-v16,72.478,1P,CANDIDATE,1,7.52,0.1056,3.25,NONE(1P),survived,False,False
3231,Ledger-v16,21.506,2P,CANDIDATE,1,31.29,0.0137,0.06,CONVENTION,survived,False,False
33729,Ledger-v16,7.2557,1P,CANDIDATE,1,71.16,0.0121,0.04,NONE(1P),,False,False
3440,Ledger-v16,158.432,2P,CONFIRMED,3,3.84,0.114,3.83,CONVENTION,survived,False,False
3475,Ledger-v16,12.533,1P,CONFIRMED,2,29.52,0.0331,0.18,NONE(1P),survived,False,False
4315,Ledger-v16,7.2308,1P,CANDIDATE,1,51.36,0.0231,0.07,NONE(1P),,False,False
4523,Ledger-v16,13.162,2P,CONFIRMED,2,48.19,0.01,0.03,CONVENTION,survived,False,False
